date,state,orgs,category,type,species,age,count
2016,AK,7,gross intakes,stray/at large,dogs,adult,1410
2016,AK,7,gross intakes,stray/at large,dogs,up to 5mo,137
2016,AK,7,gross intakes,stray/at large,dogs,unknown,0
2016,AK,7,gross intakes,relinquished by owner,dogs,adult,873
2016,AK,7,gross intakes,relinquished by owner,dogs,up to 5mo,183
2016,AK,7,gross intakes,relinquished by owner,dogs,unknown,0
2016,AK,7,gross intakes,transfer in from agency,dogs,adult,34
2016,AK,7,gross intakes,transfer in from agency,dogs,up to 5mo,99
2016,AK,7,gross intakes,transfer in from agency,dogs,unknown,1
2016,AK,7,gross intakes,other intakes,dogs,adult,195
2016,AK,7,gross intakes,other intakes,dogs,up to 5mo,10
2016,AK,7,gross intakes,other intakes,dogs,unknown,0
2016,AK,7,gross intakes,owner-intended euthanasia,dogs,adult,155
2016,AK,7,gross intakes,owner-intended euthanasia,dogs,up to 5mo,3
2016,AK,7,gross intakes,owner-intended euthanasia,dogs,unknown,12
2016,AK,7,gross intakes,stray/at large,cats,adult,1054
2016,AK,7,gross intakes,stray/at large,cats,up to 5mo,431
2016,AK,7,gross intakes,stray/at large,cats,unknown,0
2016,AK,7,gross intakes,relinquished by owner,cats,adult,640
2016,AK,7,gross intakes,relinquished by owner,cats,up to 5mo,124
2016,AK,7,gross intakes,relinquished by owner,cats,unknown,0
2016,AK,7,gross intakes,transfer in from agency,cats,adult,43
2016,AK,7,gross intakes,transfer in from agency,cats,up to 5mo,2
2016,AK,7,gross intakes,transfer in from agency,cats,unknown,0
2016,AK,7,gross intakes,other intakes,cats,adult,82
2016,AK,7,gross intakes,other intakes,cats,up to 5mo,37
2016,AK,7,gross intakes,other intakes,cats,unknown,2
2016,AK,7,gross intakes,owner-intended euthanasia,cats,adult,90
2016,AK,7,gross intakes,owner-intended euthanasia,cats,up to 5mo,2
2016,AK,7,gross intakes,owner-intended euthanasia,cats,unknown,4
2016,AK,7,gross live outcomes,adoption,dogs,adult,1157
2016,AK,7,gross live outcomes,adoption,dogs,up to 5mo,211
2016,AK,7,gross live outcomes,adoption,dogs,unknown,0
2016,AK,7,gross live outcomes,return to owner,dogs,adult,1202
2016,AK,7,gross live outcomes,return to owner,dogs,up to 5mo,50
2016,AK,7,gross live outcomes,return to owner,dogs,unknown,2
2016,AK,7,gross live outcomes,transfer to another agency,dogs,adult,79
2016,AK,7,gross live outcomes,transfer to another agency,dogs,up to 5mo,167
2016,AK,7,gross live outcomes,transfer to another agency,dogs,unknown,1
2016,AK,7,gross live outcomes,return to field,dogs,adult,0
2016,AK,7,gross live outcomes,return to field,dogs,up to 5mo,0
2016,AK,7,gross live outcomes,return to field,dogs,unknown,0
2016,AK,7,gross live outcomes,other live outcome,dogs,adult,4
2016,AK,7,gross live outcomes,other live outcome,dogs,up to 5mo,0
2016,AK,7,gross live outcomes,other live outcome,dogs,unknown,0
2016,AK,7,gross live outcomes,adoption,cats,adult,1173
2016,AK,7,gross live outcomes,adoption,cats,up to 5mo,494
2016,AK,7,gross live outcomes,adoption,cats,unknown,0
2016,AK,7,gross live outcomes,return to owner,cats,adult,263
2016,AK,7,gross live outcomes,return to owner,cats,up to 5mo,15
2016,AK,7,gross live outcomes,return to owner,cats,unknown,6
2016,AK,7,gross live outcomes,transfer to another agency,cats,adult,3
2016,AK,7,gross live outcomes,transfer to another agency,cats,up to 5mo,0
2016,AK,7,gross live outcomes,transfer to another agency,cats,unknown,0
2016,AK,7,gross live outcomes,return to field,cats,adult,5
2016,AK,7,gross live outcomes,return to field,cats,up to 5mo,0
2016,AK,7,gross live outcomes,return to field,cats,unknown,0
2016,AK,7,gross live outcomes,other live outcome,cats,adult,8
2016,AK,7,gross live outcomes,other live outcome,cats,up to 5mo,5
2016,AK,7,gross live outcomes,other live outcome,cats,unknown,0
2016,AK,7,other outcomes,died in care,dogs,adult,18
2016,AK,7,other outcomes,died in care,dogs,up to 5mo,3
2016,AK,7,other outcomes,died in care,dogs,unknown,0
